Ministério da Saúde MS
Secretaria de Atenção Primária à Saúde SAPS
Departamento de Saúde da família DESF
Painel Indicador
Estratégia eSUS- AB
Unidade Geográfica: Munícipio
"Indicador: Proporção de crianças de 1 (um) ano de idade vacinadas na APS contra Difteria, Tétano, Coqueluche, Hepatite B, infecções causadas por haemophilus influenzae tipo b e Poliomielite inativada"
Dados Preliminares:
Considerado apenas (eSF e eAP) válidas para o componente de desempenho
Dados sujeitos à alteração


UF;IBGE;Munícipio;Numerador;Denominador Utilizado;2022 Q1 (%);Denominador Identificado;Denominador Estimado;Cadastro;Base Externa;Percentual;População;
MG;313620;JOÃO MONLEVADE;66;124;53;124;134;38981;277;93;80416;
PE;260610;GLÓRIA DO GOITÁ;66;125;53;125;94;24593;117;133;30751;
PB;251290;RIO TINTO;66;140;47;140;117;28365;100;120;24218;
PR;411050;IPIRANGA;66;67;99;67;58;15679;56;116;15251;
SP;352920;MARTINÓPOLIS;66;68;97;68;67;19745;90;101;26628;
SP;351240;CORDEIRÓPOLIS;66;68;97;68;72;21010;85;94;24826;
PR;412140;REALEZA;66;72;92;72;62;16845;62;116;16950;
SP;353860;PIRACAIA;66;73;90;73;58;17227;93;126;27462;
PR;410390;CAMPINA DA LAGOA;66;74;89;74;75;18169;58;99;14043;
PR;411450;MANOEL RIBAS;66;75;88;75;47;13219;48;160;13510;
SP;352290;ITAPUÍ;66;76;87;76;41;14426;40;185;14147;
SP;354300;RIBEIRÃO BRANCO;66;77;86;77;77;14942;84;100;16211;
CE;230520;HIDROLÂNDIA;66;79;84;79;43;19222;45;184;20053;
BA;291210;IBICARAÍ;66;79;84;79;65;25255;55;122;21378;
SP;354150;PRESIDENTE VENCESLAU;66;81;81;81;84;28950;115;96;39583;
GO;522020;SÃO MIGUEL DO ARAGUAIA;66;82;80;82;94;22157;93;87;21920;
MG;314015;MÁRIO CAMPOS;66;84;79;84;65;16889;60;129;15619;
GO;521220;JUSSARA;66;86;77;86;88;23142;70;98;18371;
MG;311320;CARANDAÍ;66;88;75;88;86;26408;84;102;25669;
SP;354425;ROSANA;66;96;69;96;59;17561;55;163;16281;
BA;291080;FEIRA DE SANTANA;661;1961;34;1464;1961;404784;3001;75;619609;
ES;320420;PIÚMA;67;107;63;107;76;18363;91;141;22053;
BA;292640;RIACHO DE SANTANA;67;110;61;110;81;26853;107;136;35593;
RO;110009;ESPIGÃO D'OESTE;67;110;61;73;110;27515;131;66;32695;
MG;313250;ITAMARANDIBA;67;127;53;127;139;35904;135;91;34936;
AC;120010;BRASILÉIA;67;147;46;147;159;25762;165;92;26702;
MG;313840;LEOPOLDINA;67;159;42;159;141;43093;172;113;52640;
MG;313010;IGARAPÉ;67;175;38;175;162;39767;179;108;43817;
PA;150345;IPIXUNA DO PARÁ;67;190;35;190;92;33562;180;207;65625;
RS;430463;CAPÃO DA CANOA;67;241;28;241;197;42107;253;122;54051;
SP;353460;OSVALDO CRUZ;67;69;97;69;79;29149;90;87;33000;
CE;230860;MONSENHOR TABOSA;67;76;88;76;67;17118;68;113;17249;
SP;355380;TAQUARITUBA;67;76;88;76;86;24666;81;88;23256;
SP;353530;PALMITAL;67;77;87;77;64;21862;65;120;22272;
ES;320370;MUNIZ FREIRE;67;79;85;79;84;20178;72;94;17319;
BA;290530;CAFARNAUM;67;79;85;79;87;18466;87;91;18513;
MS;500430;IGUATEMI;67;81;83;81;65;15064;70;125;16176;
BA;290890;CORAÇÃO DE MARIA;67;82;82;82;66;25999;57;124;22495;
PI;220260;CASTELO DO PIAUÍ;67;89;75;89;93;20278;90;96;19715;
ES;320334;MARECHAL FLORIANO;67;90;74;90;68;19871;58;132;16920;
PB;250770;JUAZEIRINHO;67;94;71;94;91;18674;89;103;18298;
PE;260950;NAZARÉ DA MATA;67;98;68;98;97;28173;112;101;32573;
SP;354140;PRESIDENTE PRUDENTE;672;825;81;825;582;159354;842;142;230371;
DF;530010;BRASÍLIA;6757;8848;76;8848;7597;1739145;13345;116;3055149;
GO;521090;ITAPACI;68;100;68;100;84;22318;88;119;23421;
SC;420940;LAGUNA;68;106;64;89;106;38516;127;84;46122;
MS;500210;BELA VISTA;68;108;63;108;81;18458;108;133;24735;
CE;231160;REDENÇÃO;68;130;52;130;85;30899;80;153;29146;
PA;150309;GOIANÉSIA DO PARÁ;68;133;51;133;88;22616;159;151;41081;
MG;312870;GUAXUPÉ;68;133;51;89;133;40180;172;67;52078;
SP;352500;JANDIRA;68;172;40;172;203;50888;504;85;126356;
PR;411800;PARAÍSO DO NORTE;68;72;94;72;54;14484;52;133;14023;
PB;251670;TEIXEIRA;68;75;91;75;69;16399;64;109;15248;
CE;230670;JAGUARETAMA;68;83;82;83;47;18637;46;177;18147;
BA;291720;ITUAÇU;68;83;82;83;61;20132;58;136;19030;
PB;251630;SUMÉ;68;83;82;83;81;18374;75;102;17031;
PR;410445;CANTAGALO;68;84;81;84;41;11826;46;205;13329;
PE;260560;FLORES;68;87;78;87;58;22604;58;150;22618;
PR;412850;WENCESLAU BRAZ;68;88;77;88;78;19879;76;113;19386;
AL;270160;CANAPI;68;90;76;90;79;17506;80;114;17719;
MG;316960;TUPACIGUARA;68;99;69;99;65;25175;66;152;25398;
RJ;330490;SÃO GONÇALO;680;2047;33;2047;1501;519840;3152;136;1091737;
PE;260960;OLINDA;681;1111;61;1111;1050;254051;1625;106;393115;
RJ;330250;MAGÉ;682;1230;55;1230;1023;240921;1046;120;246433;
GO;520025;ÁGUAS LINDAS DE GOIÁS;688;1035;66;1035;494;126407;851;210;217698;
BA;291220;IBICOARA;69;108;64;108;92;23144;79;117;19786;
GO;521740;PIRES DO RIO;69;111;62;111;93;30320;97;119;31686;
PE;261080;PEDRA;69;115;60;115;81;22192;83;142;22668;
MA;210927;PRESIDENTE SARNEY;69;119;58;100;119;19668;115;84;19069;
PR;412570;SÃO MIGUEL DO IGUAÇU;69;122;57;122;112;30443;101;109;27576;
MA;210030;ALDEIAS ALTAS;69;129;53;129;109;22878;128;118;26757;
CE;230185;BANABUIÚ;69;75;92;75;79;17922;80;95;18256;
SC;420630;GUABIRUBA;69;80;86;80;79;25149;77;101;24382;
AL;270910;TAQUARANA;69;87;79;87;63;19861;64;138;20072;
CE;231335;TEJUÇUOCA;69;90;77;90;57;17944;62;158;19371;
AM;130150;ENVIRA;69;94;73;94;78;14651;108;121;20393;
SP;351500;EMBU DAS ARTES;692;835;83;835;680;163436;1150;123;276535;
MG;316730;SILVEIRÂNIA;7;10;70;10;2;2654;2;500;2264;
MG;310980;CACHOEIRA DOURADA;7;10;70;10;3;2482;3;333;2706;
SC;420757;IOMERÊ;7;10;70;10;3;3981;2;333;2962;
MG;313000;IBITURUNA;7;10;70;10;5;3075;5;200;2996;
RS;430511;CENTENÁRIO;7;10;70;10;5;3142;5;200;2877;
PA;150570;PONTA DE PEDRAS;7;10;70;10;6;2040;96;167;31549;
TO;172015;SÃO FÉLIX DO TOCANTINS;7;10;70;10;7;1789;6;143;1598;
RS;430670;DONA FRANCISCA;7;10;70;10;8;2820;8;125;2999;
SC;420515;DOUTOR PEDRINHO;7;10;70;10;9;4174;9;111;4115;
SC;420180;ATALANTA;7;10;70;8;10;3828;8;80;3195;
RN;240790;MONTE DAS GAMELEIRAS;7;11;64;11;12;2506;10;92;2084;
PR;411630;MUNHOZ DE MELO;7;11;64;11;12;4786;10;92;4009;
PB;250435;CATURITÉ;7;11;64;11;13;3595;17;85;4875;
SP;350620;BENTO DE ABREU;7;11;64;11;5;3076;5;220;3005;
SP;351610;FLORÍNIA;7;11;64;11;7;4599;4;157;2653;
MG;316790;TABULEIRO;7;11;64;8;11;4731;9;73;3708;
SP;352215;ITAÓCA;7;11;64;9;11;3900;9;82;3330;
RS;430005;ÁGUA SANTA;7;12;58;12;6;4117;5;200;3743;
MG;313610;JOANÉSIA;7;13;54;13;11;5237;9;118;4476;
MG;312720;FUNILÂNDIA;7;14;50;14;11;5150;9;127;4392;
RS;431515;PROGRESSO;7;14;50;14;15;6337;15;93;6239;
RN;241445;TRIUNFO POTIGUAR;7;15;47;15;15;3905;12;100;3216;
RS;432185;TRÊS PALMEIRAS;7;15;47;15;16;5079;13;94;4251;
BA;290060;AIQUARA;7;15;47;15;8;3979;9;188;4416;
SP;351600;FLÓRIDA PAULISTA;7;16;44;16;10;4833;30;160;14790;
MG;316600;SENHORA DE OLIVEIRA;7;16;44;16;10;6051;10;160;5786;
PB;251207;POÇO DE JOSÉ DE MOURA;7;16;44;16;11;4887;10;145;4337;
PA;150746;SÃO JOÃO DA PONTA;7;16;44;16;16;5839;17;100;6217;
PI;220530;JERUMENHA;7;16;44;16;17;4345;17;94;4447;
BA;291530;ITAGIMIRIM;7;18;39;18;13;6314;14;138;6825;
MG;310810;BONFIM;7;18;39;18;17;8092;14;106;6860;
PR;412125;RAMILÂNDIA;7;18;39;18;21;5162;18;86;4476;
MG;315060;PIRACEMA;7;20;35;11;20;7355;17;55;6398;
RJ;330160;DUAS BARRAS;7;20;35;20;20;6734;34;100;11528;
MG;316550;SARDOÁ;7;21;33;21;14;6059;15;150;6361;
RS;431550;RESTINGA SECA;7;21;33;21;17;7206;38;124;15744;
PA;150375;JACAREACANGA;7;224;3;38;224;9259;184;17;7590;
MT;510720;RIO BRANCO;7;24;29;19;24;5368;23;79;5150;
SE;280110;CANHOBA;7;24;29;24;18;4445;16;133;4006;
MA;211227;TUFILÂNDIA;7;26;27;26;28;7148;23;93;5854;
MA;210462;GOVERNADOR LUIZ ROCHA;7;27;26;27;21;6352;26;129;7841;
PI;220375;FARTURA DO PIAUÍ;7;27;26;27;24;5588;23;113;5319;
PR;411490;MARILÂNDIA DO SUL;7;29;24;13;29;9002;28;45;8814;
MG;312960;IBIAÍ;7;30;23;30;18;7703;20;167;8437;
SP;353850;PIQUETE;7;32;22;21;32;11971;36;66;13575;
MG;311455;CARNEIRINHO;7;32;22;32;27;10327;26;119;10066;
RR;140060;SÃO LUIZ;7;34;21;34;19;5793;27;179;8110;
SC;420390;CAPINZAL;7;47;15;7;47;12196;88;15;23035;
PA;150100;AVEIRO;7;63;11;63;27;11377;39;233;16404;
SC;421390;PRESIDENTE CASTELLO BRANCO;7;7;100;7;2;1923;2;350;1547;
RS;431344;NOVO TIRADENTES;7;7;100;7;2;2456;2;350;2200;
SP;355465;TORRE DE PEDRA;7;7;100;7;3;2399;3;233;2422;
MG;311490;CASA GRANDE;7;7;100;7;3;2560;3;233;2254;
SC;421505;RIO RUFINO;7;7;100;7;3;2647;3;233;2483;
SP;352725;LOURDES;7;7;100;7;3;2927;2;233;2300;
PB;250530;CURRAL VELHO;7;7;100;7;4;2245;4;175;2512;
RS;431455;PIRAPÓ;7;7;100;7;4;2659;3;175;2254;
RS;431123;LAGOA BONITA DO SUL;7;7;100;7;4;2687;4;175;2921;
RS;430957;HERVEIRAS;7;7;100;7;4;2905;4;175;3019;
RS;430107;ARROIO DO PADRE;7;7;100;7;4;3133;4;175;2951;
RS;430645;DOIS LAJEADOS;7;7;100;7;4;3752;4;175;3405;
PR;411650;NOVA ALIANÇA DO IVAÍ;7;7;100;7;5;1435;5;140;1551;
PR;411435;MANFRINÓPOLIS;7;7;100;7;6;3022;5;117;2506;
RS;432377;WESTFALIA;7;7;100;7;6;3366;5;117;3031;
SP;353715;PEDRINHAS PAULISTA;7;7;100;7;6;3578;5;117;3101;
RS;431935;SÃO PEDRO DA SERRA;7;7;100;7;7;3779;7;100;3842;
RS;430495;CASEIROS;7;7;100;7;8;3022;8;88;3216;
MA;210845;PERITORÓ;7;74;9;74;74;17353;100;100;23364;
GO;520145;APARECIDA DO RIO DOCE;7;8;88;8;2;3089;2;400;2474;
PR;411160;IVATUBA;7;8;88;8;2;3504;2;400;3279;
RS;431057;ITAPUCA;7;8;88;8;3;1987;3;267;2065;
SP;354720;SANTANA DA PONTE PENSA;7;8;88;8;3;2142;2;267;1467;
GO;520690;DAVINÓPOLIS;7;8;88;8;3;2785;2;267;2094;
RS;431235;MONTAURI;7;8;88;8;4;1696;3;200;1441;
MG;311850;CONSOLAÇÃO;7;8;88;8;4;1911;4;200;1784;
PB;251465;SÃO JOSÉ DO BREJO DO CRUZ;7;8;88;8;4;1983;4;200;1811;
PI;220945;SANTO ANTÔNIO DOS MILAGRES;7;8;88;8;4;2132;4;200;2166;
GO;522005;SÃO JOÃO DA PARAÚNA;7;8;88;8;4;2849;2;200;1345;
SP;355590;URU;7;8;88;8;5;1862;3;160;1153;
TO;170980;IPUEIRAS;7;8;88;8;5;1921;5;160;2052;
RS;431861;SÃO JOSÉ DO SUL;7;8;88;8;5;2850;4;160;2437;
RS;431055;ITACURUBI;7;8;88;8;5;3126;5;160;3460;
SC;421185;OURO VERDE;7;8;88;8;6;2522;5;133;2207;
SC;421555;SANTA HELENA;7;8;88;8;6;2723;5;133;2200;
RS;430587;CORONEL BARROS;7;8;88;8;6;3587;4;133;2520;
MG;314370;MORRO DO PILAR;7;8;88;8;6;3750;5;133;3153;
RS;430595;COTIPORÃ;7;8;88;8;6;4326;5;133;3838;
MG;310070;ÁGUA COMPRIDA;7;8;88;8;7;2679;5;114;1992;
PB;251335;SANTA INÊS;7;8;88;8;7;3669;7;114;3593;
RS;431912;SÃO MARTINHO DA SERRA;7;8;88;8;7;4202;5;114;3231;
SP;350110;ALTO ALEGRE;7;8;88;8;7;4458;6;114;4088;
RS;432023;SEDE NOVA;7;8;88;8;9;3018;9;89;2891;
SC;420005;ABDON BATISTA;7;8;88;8;9;3160;7;89;2548;
AP;160053;PORTO GRANDE;7;82;9;66;82;15415;120;80;22452;
MG;316443;SÃO SEBASTIÃO DA VARGEM ALEGRE;7;9;78;9;2;3288;2;450;3024;
MG;315860;SANTANA DO DESERTO;7;9;78;9;4;2298;7;225;3981;
RS;431087;JACUIZINHO;7;9;78;9;4;2438;4;225;2706;
RS;430215;BOA VISTA DAS MISSÕES;7;9;78;9;5;2547;4;180;2092;
MG;316490;SÃO SEBASTIÃO DO RIO VERDE;7;9;78;9;5;2594;4;180;2250;
RS;430786;FAGUNDES VARELA;7;9;78;9;5;3109;4;180;2741;
SP;355715;ZACARIAS;7;9;78;9;5;3468;4;180;2752;
MT;510530;LUCIARA;7;9;78;9;6;2321;5;150;2058;
GO;522028;SÃO PATRÍCIO;7;9;78;9;6;2922;4;150;2037;
PR;410755;FAROL;7;9;78;9;6;3756;5;150;3041;
MG;311520;CONCEIÇÃO DA BARRA DE MINAS;7;9;78;9;6;4089;6;150;3946;
RN;240590;JOÃO DIAS;7;9;78;9;8;2739;8;113;2654;
MG;311430;CARMO DO PARANAÍBA;70;100;70;100;115;33089;105;87;30334;
MA;210317;CENTRO NOVO DO MARANHÃO;70;102;69;102;65;17987;79;157;21840;
PR;412080;QUATRO BARRAS;70;102;69;83;102;26868;91;81;23911;
RJ;330290;MIGUEL PEREIRA;70;116;60;116;127;34072;95;91;25581;
BA;291770;JAGUARARI;70;117;60;117;105;30575;116;111;33746;
MG;310170;ALMENARA;70;121;58;121;131;33534;165;92;42143;
AL;270550;MURICI;70;125;56;125;131;27707;134;95;28333;
MG;310860;BRASÍLIA DE MINAS;70;132;53;132;119;29658;130;111;32405;
MA;210350;COLINAS;70;144;49;144;169;33057;211;85;41312;
MA;211230;TUNTUM;70;153;46;153;145;35817;170;106;42040;
AM;130390;SÃO PAULO DE OLIVENÇA;70;159;44;159;166;23840;279;96;40073;
PE;261350;SÃO JOSÉ DO BELMONTE;70;168;42;168;131;32017;139;128;34021;
CE;231170;RERIUTABA;70;71;99;71;76;20668;68;93;18385;
SP;350710;BOM JESUS DOS PERDÕES;70;75;93;75;41;11735;91;183;25985;
MS;500450;ITAPORÃ;70;80;88;80;51;19853;65;157;25162;
SP;354240;REGENTE FEIJÓ;70;80;88;80;62;21269;59;129;20394;
MG;310855;BRASILÂNDIA DE MINAS;70;82;85;82;56;15057;62;146;16748;
RO;110149;SÃO FRANCISCO DO GUAPORÉ;70;82;85;82;91;19501;96;90;20681;
CE;230435;FORQUILHA;70;83;84;83;66;21103;77;126;24452;
CE;230920;NOVA OLINDA;70;84;83;84;92;16924;85;91;15684;
PB;250190;BELÉM;70;85;82;85;65;19843;58;131;17705;
PB;250250;BOQUEIRÃO;70;87;80;87;72;18559;69;121;17870;
SP;352044;ILHA SOLTEIRA;70;89;79;89;90;33470;72;99;26788;
MA;210640;MATA ROMA;70;94;74;94;88;19087;78;107;16977;
AL;270010;ÁGUA BRANCA;70;95;74;95;108;21387;102;88;20230;
RS;432380;XANGRI-LÁ;70;95;74;95;74;18062;69;128;16775;
SP;351300;COTIA;703;843;83;843;656;127398;1306;129;253608;
SC;421660;SÃO JOSÉ;703;916;77;916;992;244606;1015;92;250181;
CE;230120;ARACOIABA;71;100;71;100;117;27809;112;85;26535;
SP;350580;BASTOS;71;101;70;101;85;25042;71;119;20953;
BA;291440;IRAQUARA;71;101;70;101;88;22972;98;115;25478;
PB;250110;AREIA;71;117;61;91;117;26220;101;78;22656;
SP;351440;DRACENA;71;119;60;80;119;37733;148;67;47043;
SE;280570;PROPRIÁ;71;140;51;105;140;27255;152;75;29692;
ES;320280;ITAPEMIRIM;71;226;31;150;226;43740;179;66;34656;
CE;230280;CANINDÉ;71;292;24;292;287;71517;310;102;77244;
CE;231080;PEREIRO;71;76;93;76;59;18879;51;129;16331;
RS;430450;CANGUÇU;71;80;89;80;73;25078;164;110;56211;
SP;352460;JACUPIRANGA;71;83;86;83;59;17445;61;141;17889;
PB;250680;INGÁ;71;83;86;83;87;19899;79;95;18144;
MG;311910;CORINTO;71;86;83;86;83;24607;80;104;23668;
MA;210150;BARÃO DE GRAJAÚ;71;87;82;87;82;18876;82;106;18924;
MG;316040;SANTO ANTÔNIO DO MONTE;71;87;82;87;98;29228;95;89;28427;
SC;420670;HERVAL D'OESTE;71;90;79;90;89;24004;84;101;22714;
MG;316760;SIMONÉSIA;71;94;76;94;100;21365;92;94;19736;
MG;313120;IPANEMA;71;95;75;95;71;22097;64;134;20000;
MA;210400;ESPERANTINÓPOLIS;71;96;74;73;96;18515;89;76;17104;
CE;230395;CHOROZINHO;71;97;73;97;67;21778;62;145;20274;
PR;410940;GUARAPUAVA;714;959;74;959;943;180911;952;102;182644;
SP;354100;PRAIA GRANDE;716;1165;61;1165;1200;319538;1242;97;330845;
RS;430930;GUAÍBA;72;103;70;103;95;26397;352;108;98239;
AC;120070;XAPURI;72;109;66;109;81;17319;92;135;19596;
RR;140030;MUCAJAÍ;72;114;63;114;91;17408;95;125;18172;
PR;410425;CAMPO MAGRO;72;121;60;91;121;29215;123;75;29740;
MS;500070;ANASTÁCIO;72;130;55;130;105;23910;111;124;25237;
AM;130060;BENJAMIN CONSTANT;72;133;54;133;148;21395;304;90;43935;
MT;510650;POCONÉ;72;134;54;134;111;27909;133;121;33315;
PR;410400;CAMPINA GRANDE DO SUL;72;161;45;106;161;31283;225;66;43685;
PA;150370;ITUPIRANGA;72;184;39;184;176;39039;240;105;53355;
BA;290115;AMÉRICA DOURADA;72;79;91;79;51;15085;54;155;16090;
PB;251200;POCINHOS;72;80;90;80;76;19635;72;105;18708;
PB;251450;SÃO JOSÉ DE PIRANHAS;72;80;90;80;84;21294;80;95;20329;
SP;354160;PROMISSÃO;72;81;89;81;85;27919;125;95;40828;
MG;312830;GUARANÉSIA;72;82;88;82;69;20624;64;119;19017;
CE;231210;SANTANA DO CARIRI;72;86;84;86;63;17932;62;137;17712;
MA;210255;CAMPESTRE DO MARANHÃO;72;87;83;87;55;13575;59;158;14453;
BA;292380;PARIPIRANGA;72;87;83;87;75;26101;83;116;29058;
SP;353740;PEREIRA BARRETO;72;92;78;92;80;26020;79;115;25677;
PR;410345;CAFELÂNDIA;72;94;77;94;88;18682;87;107;18456;
MT;510730;SÃO JOSÉ DO RIO CLARO;72;95;76;95;65;17357;79;146;21011;
AM;130002;ALVARÃES;72;95;76;95;88;12936;110;108;16220;
PE;260090;AMARAJI;72;98;73;98;76;20545;85;129;22870;
RN;240720;MACAU;73;106;69;106;88;28118;100;120;32039;
SC;420880;JAGUARUNA;73;107;68;107;87;23971;74;123;20288;
RJ;330480;SÃO FIDÉLIS;73;111;66;111;98;35363;107;113;38710;
MS;500600;NOVA ALVORADA DO SUL;73;112;65;112;68;17071;89;165;22430;
RS;431880;SÃO LOURENÇO DO SUL;73;113;65;113;100;38865;112;113;43540;
MA;210870;PIO XII;73;118;62;92;118;22336;113;78;21379;
MA;211010;SANTA QUITÉRIA DO MARANHÃO;73;155;47;128;155;29381;136;83;25764;
PB;251120;PEDRAS DE FOGO;73;170;43;131;170;34800;139;77;28533;
BA;292550;PRADO;73;194;38;194;159;32574;138;122;28194;
BA;290270;BARRA;73;195;37;195;209;38425;293;93;53910;
PE;260005;ABREU E LIMA;73;212;34;212;238;59047;405;89;100346;
MG;315990;SANTO ANTÔNIO DO AMPARO;73;75;97;75;50;17203;54;150;18613;
MS;500635;PARANHOS;73;83;88;83;58;9680;87;143;14404;
AM;130014;APUÍ;73;84;87;84;48;16849;64;175;22359;
MS;500560;MIRANDA;73;87;84;87;90;17211;148;97;28220;
SP;355180;SETE BARRAS;73;88;83;88;60;15332;50;147;12780;
AM;130255;MANAQUIRI;73;93;78;93;43;16354;86;216;33049;
MA;210900;PORTO FRANCO;73;96;76;96;102;23751;103;94;24092;
RS;430535;CHARQUEADAS;73;97;75;97;79;35258;93;123;41258;
PE;260830;JUPI;73;98;74;98;108;19662;82;91;14922;
RS;431330;NOVA PRATA;73;98;74;98;85;24103;98;115;27648;
PR;412550;SÃO JOSÉ DOS PINHAIS;733;908;81;908;866;197695;1442;105;329058;
PR;410830;FOZ DO IGUAÇU;736;1111;66;932;1111;215370;1332;84;258248;
BA;291085;FILADÉLFIA;74;100;74;100;84;18719;73;119;16345;
RJ;330350;NOVA IGUAÇU;74;1009;7;766;1009;240666;3453;76;823302;
RN;241420;TIBAU DO SUL;74;103;72;103;91;18688;70;113;14440;
PB;250490;CRUZ DO ESPÍRITO SANTO;74;104;71;104;104;21558;84;100;17461;
RN;240145;BARAÚNA;74;107;69;107;100;25936;111;107;28747;
BA;291190;IAÇU;74;112;66;112;130;27291;115;86;24121;
PR;412405;SANTA TEREZINHA DE ITAIPU;74;113;65;113;91;26769;81;124;23699;
RJ;330575;TANGUÁ;74;145;51;145;133;34999;132;109;34610;
SP;351670;GARÇA;74;157;47;157;169;47537;158;93;44409;
RN;240580;JOÃO CÂMARA;74;163;45;163;143;34701;145;114;35160;
GO;521380;MORRINHOS;74;180;41;113;180;44405;189;63;46548;
RO;110010;GUAJARÁ-MIRIM;74;199;37;149;199;37751;246;75;46556;
RS;431830;SÃO GABRIEL;74;208;36;208;203;55419;228;102;62147;
SP;352610;JUQUIÁ;74;80;93;80;66;19105;65;121;18718;
PB;251270;REMÍGIO;74;82;90;82;79;19976;78;104;19798;
SP;351000;CÂNDIDO MOTA;74;83;89;83;42;15449;85;198;31346;
BA;290120;ANAGÉ;74;85;87;85;65;22735;62;131;21607;
SC;421170;ORLEANS;74;85;87;85;92;24880;85;92;23038;
CE;230290;CAPISTRANO;74;88;84;88;66;18904;62;133;17786;
AL;270895;SENADOR RUI PALMEIRA;74;89;83;89;53;13278;56;168;13921;
BA;291160;GOVERNADOR MANGABEIRA;74;92;80;92;66;23644;58;139;20762;
PB;250510;CUITÉ;74;94;79;94;74;21711;69;127;20334;
MA;210650;MATINHA;74;96;77;96;102;22816;105;94;23482;
BA;292020;MALHADA;74;99;75;99;57;15869;61;174;16861;
ES;320530;VITÓRIA;742;985;75;985;1078;277829;1420;91;365855;
RJ;330415;QUISSAMÃ;75;101;74;101;85;25095;85;119;25126;
PE;260700;INAJÁ;75;104;72;104;74;17377;101;141;23645;
BA;290850;CONCEIÇÃO DO JACUÍPE;75;111;68;111;87;32603;89;128;33398;
PE;260030;AGRESTINA;75;117;64;117;98;25231;97;119;25065;
PB;250830;LAGOA SECA;75;124;60;124;130;29145;123;95;27617;
SP;351340;CRUZEIRO;75;125;60;125;139;43422;264;90;82571;
CE;230210;BATURITÉ;75;138;54;112;138;33081;150;81;35941;
SC;420840;ITAPIRANGA;75;82;91;82;64;19209;57;128;17007;
PE;260515;DORMENTES;75;83;90;83;74;19007;74;112;19079;
BA;292430;PIATÃ;75;84;89;84;69;19106;61;122;16984;
BA;290920;CORONEL JOÃO SÁ;75;86;87;86;63;17135;58;137;15717;
SP;351930;IBATÉ;75;87;86;87;89;23895;132;98;35472;
MG;314320;MONTE SANTO DE MINAS;75;89;84;89;71;23875;64;125;21513;
AL;270330;INHAPI;75;92;82;92;76;17490;80;121;18392;
MG;315770;SANTA JULIANA;75;94;80;94;70;16140;62;134;14255;
PR;412120;QUITANDINHA;75;95;79;95;70;19200;70;136;19221;
TO;170930;GUARAÍ;75;96;78;96;103;24018;112;93;26165;
PE;260650;IATI;76;101;75;101;74;20257;70;136;19241;
SE;280760;UMBAÚBA;76;101;75;101;81;20878;99;125;25550;
SE;280460;NOSSA SENHORA DAS DORES;76;107;71;88;107;26512;108;82;26795;
MA;211060;SÃO BERNARDO;76;115;66;115;122;28419;123;94;28667;
SC;421830;TRÊS BARRAS;76;117;65;117;98;23320;81;119;19366;
PE;260845;LAGOA DO CARRO;76;85;89;85;64;17732;66;133;18252;
MT;510623;NOVA OLÍMPIA;76;86;88;86;57;14545;80;151;20563;
MG;311160;CAMPOS GERAIS;76;86;88;86;71;24779;83;121;28842;
PR;410630;CORBÉLIA;76;89;85;89;82;20903;67;109;17117;
SC;421060;MASSARANDUBA;76;93;82;93;64;19700;56;145;17125;
AL;270500;MATA GRANDE;76;93;82;93;73;19423;95;127;25207;
PE;260390;CARNAÍBA;76;93;82;93;88;20626;84;106;19609;
MA;211160;SÃO RAIMUNDO DAS MANGABEIRAS;76;95;80;95;101;19977;96;94;18980;
RN;240940;PAU DOS FERROS;76;97;78;97;99;26545;114;98;30600;
PR;411520;MARINGÁ;765;1188;64;942;1188;329192;1552;79;430157;
BA;290730;CASTRO ALVES;77;100;77;100;88;27105;85;114;26318;
MG;314180;MINAS NOVAS;77;112;69;112;71;26563;84;158;31497;
BA;290790;CIPÓ;77;114;68;114;86;17418;86;133;17352;
PB;250030;ALAGOA GRANDE;77;119;65;119;112;29541;108;106;28439;
MA;211300;VITORINO FREIRE;77;125;62;125;140;28671;154;89;31522;
PE;260570;FLORESTA;77;125;62;125;97;24026;134;129;33184;
AM;130080;BORBA;77;127;61;127;109;20584;221;117;41748;
BA;290280;BARRA DA ESTIVA;77;127;61;127;99;19786;102;128;20392;
BA;292770;SANTA CRUZ CABRÁLIA;77;130;59;130;107;22996;130;121;27922;
RJ;330187;IGUABA GRANDE;77;133;58;133;144;38871;107;92;28837;
MG;313900;MACHADO;77;80;96;80;74;23946;131;108;42413;
SP;353190;MORRO AGUDO;77;84;92;84;85;26044;109;99;33288;
MG;314630;PADRE PARAÍSO;77;87;89;87;64;19770;66;136;20252;
SE;280490;PACATUBA;77;87;89;87;69;14295;70;126;14540;
BA;290520;CAETITÉ;77;94;82;94;100;23902;213;94;51081;
SP;355250;SUZANO;778;1012;77;1012;709;154712;1378;143;300559;
MG;316240;SÃO JOÃO DA PONTE;78;100;78;100;73;24339;75;137;25098;
CE;231320;TAMBORIL;78;101;77;101;80;25075;84;126;26225;
AL;270100;BOCA DA MATA;78;102;76;102;84;24514;94;121;27356;
SP;352410;ITUVERAVA;78;103;76;103;113;36524;130;91;42045;
SC;420010;ABELARDO LUZ;78;103;76;103;86;19609;79;120;17960;
MA;210070;ANAJATUBA;78;115;68;115;108;27980;104;106;26988;
PA;150310;GURUPÁ;78;125;62;125;121;18074;226;103;33755;
MA;210660;MATÕES;78;140;56;140;135;30213;152;104;33943;
